filename,map,duration_s,players,shape,usable
lmctf-2021-11-10-lmctf31-20.50.dm2,lmctf31,77.6,9,client(human),False
lmctf-2021-11-10-lmctf31-20.52.dm2,lmctf31,218.8,9,client(human),False
lmctf-2021-11-10-lmctf31-20.55.dm2,lmctf31,1329.4,10,client(human),True
lmctf-2021-11-10-lmctf41-19.33.dm2,lmctf41,2.0,0,client(human),False
lmctf-2021-11-10-lmctf41-19.35.dm2,lmctf41,15.3,1,client(human),False
lmctf-2021-11-10-smap06-19.36.dm2,smap06,48.6,1,client(human),False
lmctf-2021-11-10-smap06-21.18.dm2,smap06,115.6,8,client(human),False
lmctf-2021-11-10-smap06-21.20.dm2,smap06,454.0,10,client(human),True
lmctf-2021-11-10-smap06-21.27.dm2,smap06,1282.5,10,client(human),True
lmctf-2021-11-10-xmap20-19.37.dm2,xmap20,14.8,1,client(human),False
lmctf-2021-11-10-xmap20-21.49.dm2,xmap20,268.8,10,client(human),False
lmctf-2021-11-10-xmap20-21.53.dm2,xmap20,1039.2,10,client(human),True
lmctf-2021-11-14-lmctf22-20.32.dm2,lmctf22,407.9,6,client(human),True
lmctf-2021-11-14-lmctf22-21.00.dm2,lmctf22,56.8,9,client(human),False
lmctf-2021-11-14-lmctf22-21.01.dm2,lmctf22,919.6,10,client(human),True
lmctf-2021-11-14-lmctf26-20.39.dm2,lmctf26,38.4,0,client(human),False
lmctf-2021-11-14-lmctf28-21.00.dm2,lmctf28,16.9,3,client(human),False
lmctf-2021-11-14-smap26-20.40.dm2,smap26,1204.6,11,client(human),True
lmctf-2021-11-14-smap26-21.18.dm2,smap26,234.4,10,client(human),False
lmctf-2021-11-14-smap26-21.21.dm2,smap26,1318.8,8,client(human),True
lmctf-2021-11-20-lmctf01-14.50.dm2,lmctf01,1.0,0,client(human),False
lmctf-2021-11-20-lmctf01-14.53.dm2,lmctf01,1.2,0,client(human),False
lmctf-2021-11-20-lmctf22-14.39.dm2,lmctf22,114.4,1,client(human),False
lmctf-2021-11-20-lmctf41-14.54.dm2,lmctf41,53.5,1,client(human),False
lmctf-2021-11-22-lmctf01-20.06.dm2,lmctf01,3.8,0,client(human),False
lmctf-2021-11-22-lmctf01-20.44.dm2,lmctf01,9.1,0,client(human),False
lmctf-2021-11-22-lmctf01-21.10.dm2,lmctf01,1.0,0,client(human),False
lmctf-2021-11-22-lmctf09-20.44.dm2,lmctf09,7.1,0,client(human),False
lmctf-2021-11-22-lmctf09-20.58.dm2,lmctf09,350.0,10,client(human),True
lmctf-2021-11-22-lmctf11-21.04.dm2,lmctf11,305.9,6,client(human),True
lmctf-2021-11-22-lmctf12-20.03.dm2,lmctf12,18.6,0,client(human),False
lmctf-2021-11-22-lmctf22-20.47.dm2,lmctf22,3.3,0,client(human),False
lmctf-2021-11-22-lmctf22-21.43.dm2,lmctf22,118.1,10,client(human),False
lmctf-2021-11-22-lmctf22-21.45.dm2,lmctf22,1032.8,11,client(human),True
lmctf-2021-11-22-lmctf39-21.14.dm2,lmctf39,560.2,9,client(human),True
lmctf-2021-11-22-lmctf41-20.00.dm2,lmctf41,1.2,0,client(human),False
lmctf-2021-11-22-lmctf41-20.37.dm2,lmctf41,1.3,0,client(human),False
lmctf-2021-11-22-lmctf41-21.23.dm2,lmctf41,121.1,10,client(human),False
lmctf-2021-11-22-lmctf41-21.25.dm2,lmctf41,1051.3,10,client(human),True
lmctf-2021-11-22-lmctf44-20.02.dm2,lmctf44,1.0,0,client(human),False
lmctf-2021-11-22-lmctf44-20.04.dm2,lmctf44,1.0,0,client(human),False
lmctf-2021-11-22-lmctf44-20.12.dm2,lmctf44,1.0,2,client(human),False
lmctf-2021-11-22-lmctf44-20.16.dm2,lmctf44,1.0,0,client(human),False
lmctf-2021-11-22-lmctf44-21.11.dm2,lmctf44,158.6,8,client(human),False
lmctf-2021-11-22-lmctf53-20.02.dm2,lmctf53,1.2,0,client(human),False
lmctf-2021-11-22-lmctf53-20.03.dm2,lmctf53,1.1,0,client(human),False
lmctf-2021-11-22-lmctf54-20.10.dm2,lmctf54,1.0,0,client(human),False
lmctf-2021-11-22-lmctf58-20.34.dm2,lmctf58,1.0,0,client(human),False
lmctf-2021-11-22-lmctf58-20.37.dm2,lmctf58,1.0,0,client(human),False
lmctf-2021-11-22-lmctf58-20.41.dm2,lmctf58,1.0,0,client(human),False
lmctf-2021-11-22-q2dm1-20.06.dm2,q2dm1,0.0,0,client(human),False
lmctf-2021-11-22-q2dm1-20.44.dm2,q2dm1,0.0,0,client(human),False
lmctf-2021-11-22-smap06-20.45.dm2,smap06,100.7,0,client(human),False
lmctf-2021-11-22-smap32-20.04.dm2,smap32,19.5,0,client(human),False
lmctf-2021-11-22-smap46-20.07.dm2,smap46,1.1,0,client(human),False
lmctf-2021-11-22-smap46-20.19.dm2,smap46,1.2,0,client(human),False
lmctf-2021-11-26-lmctf01-15.30.dm2,lmctf01,1.0,0,client(human),False
lmctf-2021-11-26-lmctf01-15.36.dm2,lmctf01,1.0,0,client(human),False
lmctf-2021-11-26-lmctf01-15.41.dm2,lmctf01,1.0,0,client(human),False
lmctf-2021-11-26-lmctf01-15.42.dm2,lmctf01,1.0,0,client(human),False
lmctf-2021-11-26-lmctf01-15.43.dm2,lmctf01,1.0,0,client(human),False
lmctf-2021-11-26-lmctf01-15.44.dm2,lmctf01,1.0,0,client(human),False
lmctf-2021-11-26-lmctf01-17.57.dm2,lmctf01,1.0,0,client(human),False
lmctf-2021-11-26-lmctf01-18.02.dm2,lmctf01,16.7,1,client(human),False
lmctf-2021-11-26-lmctf01-18.03.dm2,lmctf01,0.9,0,client(human),False
lmctf-2021-11-26-lmctf02c-17.57.dm2,lmctf02c,3.9,0,client(human),False
lmctf-2021-11-26-lmctf02c-18.00.dm2,lmctf02c,26.3,1,client(human),False
lmctf-2021-11-26-lmctf03-18.04.dm2,lmctf03,8.8,1,client(human),False
lmctf-2021-11-26-lmctf11-15.53.dm2,lmctf11,38.6,1,client(human),False
lmctf-2021-11-26-lmctf15-18.03.dm2,lmctf15,19.9,0,client(human),False
lmctf-2021-11-26-lmctf15-18.04.dm2,lmctf15,10.2,0,client(human),False
lmctf-2021-11-26-lmctf50-18.03.dm2,lmctf50,5.0,0,client(human),False
lmctf-2021-12-14-lmctf24-20.30.dm2,lmctf24,8.4,2,client(human),False
lmctf-2021-12-14-lmctf26-21.09.dm2,lmctf26,23.2,2,client(human),False
lmctf-2021-12-14-lmctf44-21.10.dm2,lmctf44,71.1,10,client(human),False
lmctf-2021-12-14-lmctf44-21.11.dm2,lmctf44,1410.6,8,client(human),True
lmctf-2021-12-14-lmctf54-20.30.dm2,lmctf54,2.8,1,client(human),False
lmctf-2021-12-14-lmctf58-20.23.dm2,lmctf58,1.0,0,client(human),False
lmctf-2021-12-14-lmctf58-20.24.dm2,lmctf58,355.0,6,client(human),True
lmctf-2021-12-14-lmctf58-20.30.dm2,lmctf58,1023.1,9,client(human),True
lmctf-2021-12-14-lmctf58-20.47.dm2,lmctf58,1319.4,10,client(human),True
lmctf-2022-01-13-lmctf01-20.48.dm2,lmctf01,0.3,0,client(human),False
lmctf-2022-01-13-lmctf22-21.38.dm2,lmctf22,61.9,9,client(human),False
lmctf-2022-01-13-lmctf37-20.30.dm2,lmctf37,74.8,5,client(human),False
lmctf-2022-01-13-lmctf51-20.45.dm2,lmctf51,0.8,2,client(human),False
lmctf-2022-01-13-lmctf52-20.20.dm2,lmctf52,639.0,5,client(human),True
lmctf-2022-01-13-lmctf52-20.45.dm2,lmctf52,153.9,5,client(human),False
lmctf-2022-01-13-lmctf52-20.48.dm2,lmctf52,312.9,10,client(human),True
lmctf-2022-01-13-lmctf52-20.53.dm2,lmctf52,1295.8,10,client(human),True
lmctf-2022-01-13-smap29-20.32.dm2,smap29,789.9,9,client(human),True
lmctf-2022-01-13-smap30-21.15.dm2,smap30,71.6,8,client(human),False
